Index;Exercise;PrimaryMuscle;SecondaryMuscle;URL;Priority
86;Triceps Pulley Peg Pronada;Triceps;Tipo 2;https://youtu.be/QDt8P44ORa4;1
87;Triceps Pulley Peg Supinada;Triceps;Tipo 3;https://youtu.be/2W09NaNpiOA;0
88;Triceps Pulley Unilateral Peg Pronada;Triceps;Tipo 2;https://youtu.be/TmO_85EK09I;1
89;Triceps Pulley Unilateral Peg Supinada;Triceps;Tipo 3;https://youtu.be/iO5EOd9Xe4c;0
90;Rosca Francesa Anilha;Triceps;Tipo 4;https://youtu.be/D2oQJTz-RCA;0
91;Rosca Francesa Barra Peg Pronada;Triceps;Tipo 2;https://youtu.be/fcIzvqXOJzs;1
92;Rosca Francesa Barra Peg Supinada;Triceps;Tipo 3;https://youtu.be/xnP-A7ig8No;0
93;Rosca Francesa Halteres Peg Neutra;Triceps;Tipo 4;https://youtu.be/aI8x4pHiByU;1
94;Rosca Francesa Halteres Peg Supinada;Triceps;Tipo 3;https://youtu.be/KoLqZRyZuuU;0
95;Rosca Francesa Halteres Peg Pronada;Triceps;Tipo 2;https://youtu.be/DCbDClEDQvQ;1
96;Rosca Francesa Cross Corda;Triceps;Tipo 4;https://youtu.be/QhJ67UyNdsc;1
97;Triceps Coice Bilateral Halteres;Triceps;Tipo 4;https://youtu.be/lbYQgZvJApA;1
98;Triceps Coice Unilateral Halteres;Triceps;Tipo 4;https://youtu.be/I4hzS9nYlgs;1
99;Triceps Coice Unilateral Cross;Triceps;Tipo 4;https://youtu.be/MGlqvfSCWLQ;1
100;Flexao De Braco Fechada;Triceps;Tipo 1;https://youtu.be/9qT4QxmIuuU;0
101;Rosca Direta Barra Reta ou Barra W;Biceps;Tipo 1;https://youtu.be/po8ibB0yY0Q;1
102;Rosca Direta Halteres;Biceps;Tipo 1;https://youtu.be/ilyxkSNoyL8;1
103;Rosca Direta Cross;Biceps;Tipo 1;https://youtu.be/_t2nQjiyboo;1
